	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
Helq	535.00006	556.999845117	1106.00058	1103.00426	662.9998	604.99975	693.99969	685.99959
Helt	0	0	0	0	1	0	0	0
Helz	1701.00015	1618.99973	1413.99973	1281.000687	1422.99988	1334.00088	2002.998312	1969.99762
Helz2	737.0002	700.9998	1101.99927	1052.0002	749.9993	722.99984	2680.999	2436.997
Hemgn	3.00014	2.18217	1.01121	0	1.38307	1.00002	1.27252	0
Hemk1	282.99973	269.00009	482.0004	478.99983	340.99967	322.99977	322.999721076	300.99965
Henmt1	2.999998	0	6	3.999993	0	1	2.000005	2
Hepacam	1	2	7	4	1	1	4	2
Hepacam2	2.00884	3	2	1	4	4	2.00263	0
Heph	104	74.00003	46.99996	63	67.99995	57.000014	146.00003	133.0003
Hephl1	1	1	0	0	0	0	0	1
Herc1	1946.9105	1958.24663	2400.40602	2136.78085	1777.72834	1724.46027	2382.95705	2281.77566
Herc2	1363.99682	1271.00006	1711.99566	1568.99881	1308.00025	1210.999955902	1727.002745	1604.00098
Herc3	355.059943	333.541088	210.053807	240.00047	307.60035	283.87735	413.11867	449.285326
Herc4	934	983	1325	1268	1024	1028	1307	1250
Herc6	347.56606	308.45181	647.00007	578.0022	403.99973	386.00192	739.96704	682.02077
Herpud1	1025.9995	886.9997	2473.00238	2304.9995	1339.0036	1293.0004	1379.005	1271.99535415885
Herpud2	479	484	981	951	530	495	650	613
Hes1	390.99984	357.0001	231.00049	204.99987	336.00041	331.00001	459.9997	459.0003
Hes2	0	1	0	1	2	0	1	0
Hes3	1	0	0	0	0	0	0	0
Hes5	0	0	2	0	1	1	0	2
Hes6	184.9997	173.9997	205.9996	210.99987	191.9996	177.0002	255.9997	209.0001
Hes7	4.67061	3.42406	4.46289	3.14782	5.78276	3.78232	5.46361	7.98903
Hesx1	0	0	0	0	0	0	0	0
Hexa	1733	1590	3450	3228	2105	2051	2381	2194
Hexb	1411.94	1360.42	1878.96	1831.38	1542.91	1459.28	1892.84	1741.67
Hexdc	985.1089	846.62569	1033.17693	1006.03103	972.544507	883.6063	1202.72903	1190.49762
Hexim1	1231	1165	800	807	938	929	1446	1366
Hexim2	82.99999	93.00002	37.000068	30	87.99998	75.99998	120.99996	135.00001
Hey1	61	43.00002	36	37	61.99996	40.000000524646	96.99999	101
Hey2	18	23	42	45	25	19	22	18
Heyl	1	2	1	1	0	0	2	1
Hfe	46.38534	45.35081	51.10449	52.62073	39.09293	52.52151	64.9329	52.60222
Hfe2	0	0	0	0	1	0	0	0
Hfm1	0	0	0	1	2.10269	0	0	1
Hgd	1.999997	0	1	2.999999	1	1	2	2
Hgf	119.99994	130.00001	105.00001	86.9999128115	136.00001	113.9999	171.9995	177.99994
Hgfac	1	1	2	0	1	1	0	1
Hgh1	401.91	363.807	917.438	905.71	495.951	466.717	478.55	448.734
Hgs	2318	2174.99531	3172.99822	3157	2265	2163.999	2883.99837	2713.001
Hgsnat	638.9998	586.0003	841.9995	784.9998	664.9998	668.0003	795.0002	780
Hhat	202.81651	183.19025	223.7424	209.17746	214.83836	192.00157	266.18752	254.12064
Hhatl	1	1	0	0	3	0	1	0
Hhex	35.06567	31.01028	59.0078	68.06212	39	32.02704	35.014122	49
Hhip	1	0	3	1	1	1	4	1
Hhipl1	36	38	260	249	68	68	58	56
Hhipl2	2	1	7.000004	10	2	0	3	3
Hhla1	0	0	0	0	0	0	0	0
Hibadh	648.98638	669.09728	1040.10587	933.11603	692.0606	717.24633	952.5299	916.55079
Hibch	357.01577	328.014342	433.99986	428.99998	386.0001	416.01281	480.03272	460.00028
Hic1	415.99971	396	262	228.00009	321.00027	272.00045	512.99951	483.0004
Hic2	121.981	126.872	126.95886	130.0608	119.007	117.102	186.748	190.185
Hid1	93.99997	100.99996	102.00009	104	82.000001	56	90.99995	96
Hif1a	3055.00239	2954.00001	3204.99532	3044.99779	2840.00293	2684.00347	3920.99728	3772.00624
Hif1an	1346	1194.99701	1624	1537	1296	1199	1711.99724	1606.99658
Hif3a	2	4	1	2	1	1	4	4
Higd1a	493.223	540.75	708.678	705.509	556.592	533.357	722.408	610.456
Higd1b	1	0	0	0	0	1	2	0
Higd1c	0	0	0	0	0	0	0	0
Higd2a	810	761	723	695	773	727	997	996
Hilpda	187	187	347	322	201	215	232	229.00000982716
Hils1	1	2	1	0	0	1	0	0
Hinfp	293	296	425	401	310	254	361	359
Hint1	5060.00011	4825.0037	6648.9958	6259.0018	5658.9995	5404.00434	6413.9954	5908.99573
Hint2	187.99951	185.00007	189.99987	201.0004	178.00045	185.00033	298.99967	241.99974
Hint3	85	82.00001	73	65	71.99997	90.99995	115.0003	98.00002
Hip1	2643.00001	2482.68362	2704.00439	2545.48616	2614.99262	2477.68877	3412.12585	3216.43851317308
Hip1r	982.31001	940.61089	1234.73574	1184.42586	917.45333	941.387552	1282.05986	1211.12142
Hipk1	2443.0896	2293.00478	3403.99557	3315.1227	2573.99571	2457.20567	3155.00197	3000.99976
Hipk2	682.98578005952	646.5093	749.2531	653.5148	669.7381	620.5311	861.8874	802.704900597111
Hipk3	1942.0005	1826.0018	2636.0043	2353	2016.99598	1852.99696	2548.0034	2461.9968
Hipk4	6	9	17	12	10.99998	9	12	10
Hira	1647.0037	1474.13251	2523.0046	2416.9958	1787.0032	1595.61169	1924.10785	1971.9969
Hirip3	1079.62907	1041.00057	1236.99944	1128.00056	1086.53975	1005.99942	1301.00097	1290.0002
Hist1h1a	4	11	2	3	3	0	8	3
Hist1h1b	2	5	3	2	7	9	6	7
Hist1h1c	225.643	256.228	143.602	128.753	165.519	193.804	280.677	265.861
Hist1h1d	2.08942	4.2268	4	4.60816	6.43903	3.14051	5.79589	8.64972
Hist1h1e	4.26776	10.5455	6.39785	5.63913	3.19495	12.0552	9.52671	15.4894
Hist1h1t	1	0	0	0	0	0	0	0
Hist1h2aa	2	0	3.05883	3.05457	2	2	1	2.03166
Hist1h2ab	12.5675	12.6694	0	3.10599	2.50866	8.40922	7.21384	12.1511
Hist1h2ac	0	0	5.11667	2.328	2.369	0	7.20041	3.8988
Hist1h2ad	3.4193	0	3.79835	3.37524	0	6.4482	2.64554	4.49098
Hist1h2ae	10.5513	3.30347	15.6983	3.46998	10.85	17.5325	12.9275	19.283
Hist1h2af	10.9196	3.28027	1.82045	21.7192	5.19128	9.06117	3.15939	6.39742
Hist1h2ag	7.49221	16.8085	4.87748	7.64675	9.08462	10.1805	4.5977	7.95446
Hist1h2ah	17.3372	11.1369	7.24191	7.01268	29.2112	6.12989	16.8895	8.41175
Hist1h2ai	26.9114	26.2996	11.9175	0	6.63896	21.8594	25.7523	8.15658
Hist1h2aj	0	0	3.05352e-08	0	0	0	0	0
Hist1h2ak	4.82903	0	2.65078	0	1.13026	1.1146	3.71286	1.159
Hist1h2al	10.7836	9.22395	10.1503	8.33207	5.69854	8.28239	6.9336	14.1638
Hist1h2an	2.94421	0	2.67801	0	0	0	0	1.97396
Hist1h2ao	6.22299	14.2814	4.75815	0	27.8846	0	13.6781	0
Hist1h2ap	0.000801333	0	0.000325928	10.3659	0	10.0117	0.00182491	19.466
Hist1h2ba	0	0	0	0	0	0	0	0
Hist1h2bb	2.28369	2.39884	3.46117	0	0	4.17216	5.58632	10.0608
Hist1h2bc	140.188	128.016	86.2887	67.8509	104.029	129.993	178.74	181.335
Hist1h2be	17.69053844685	12.83299439292	3.116850517761	5.17043128002	11.92804	9.4824223381	26.0495330539	22.3060072399
Hist1h2bf	0	1.42237	1.15373	0	1.81591	2.77559	1.28184	2.63826
Hist1h2bg	10.4712	12.2553	5.85937	3.10055	16.6509	11.6129	10.6119	14.0211
Hist1h2bh	1.85665	3.83257	1.93473	0	5.11802	0	6.64615	2.57545
Hist1h2bj	0	0	0	0	1.42879	1.90499	2.56884	1.84528
Hist1h2bk	8.85392	8.18	6.40034	10.7862	7.03123	11.5838	11.2599	5.61695
Hist1h2bl	2.6787	0	1.25757	3.99692	3.62369	1.33841	2.50671	4.24713
Hist1h2bm	2.25949	0	0	0	1.11322	2.78615	1.15911	3.47374
Hist1h2bn	0	0	0	0	0	0	2.45597	2.35589
Hist1h2bp	0	1.82195	0	6.43508	5.67344	3.8879	4.06742	5.41283
Hist1h2bq	4.44393	2.37975	4.78691	2.41757	4.78524	2.39262	4.44393	0
Hist1h2br	1.59952	1.43732	0.136037	2.28001	0.839848	5.15514	4.29972	3.29259
Hist1h3a	3.16728	6.73072	4.11947	1.42056	8.74154	2.92028	4.80346	3.07891
Hist1h3b	21.0289	15.3831	10.2072	12.7025	13.5465	16.1316	17.8023	18.7009
Hist1h3c	15.4781	13.0029	9.77522	9.72483	14.5684	18.7614	19.8644	12.5967
Hist1h3d	4.47047	8.67377	2.67443	4.95095	5.0827	9.89313	9.3876	11.855
Hist1h3e	2.1294	7.00673	5	1.55532	8.01597	3.50915	8.7814	7.3657
Hist1h3f	2.40364	5.18347	0	1.91695	5.32258	4.14219	5.8804	2.24831
Hist1h3g	11.3659	10.7749	11.5334	8.71177	6.91259	14.1846	15.9912	22.8967
Hist1h3h	8.95634	0	4.31503	0	5.74972	0	11.0731	3.99878
Hist1h3i	0	0	4.37525	1.61697	1.90687	2.31372	8.4162	9.25891
Hist1h4a	3.95687	2.73533	2.95885	5.77388	4.18797	2.58201	5.80386	4.62938
Hist1h4b	1.71015	3.71485	1.67778	3.47981	1.94968	4.89451	8.5782	5.73212
Hist1h4c	3.01015	1.78871	0	1.66516	1.96876	0	2.05343	1.82643
Hist1h4d	2	1	5	3	5.23192	4	15	8
Hist1h4f	1.1899	3.60918	0	2.46938	0	1.14359	0	0
Hist1h4h	3.3812	4.50166	6.69029	4.84832	1.85492	4.92255	6.51114	7.10158
Hist1h4i	40.2974	31.1951	25.6377	19.2069	34.2136	42.8793	51.8742	46.9032
Hist1h4j	12.2602	12.9458	5.64917	8.44788	15.3772	8.60067	24.5032	35.471
Hist1h4k	14.6851	15.695	3.4229	11.7711	6.82576	6.21554	7.73281	12.1332
Hist1h4m	0	0	12.9633	2.34223	6.39019	4.76186	0.000310379	6.20314
Hist1h4n	5.509	3.81437	0	0	0	0	7.94286	0
Hist2h2aa1	32.5437	0	6.67241	13.3448	19.6385	26.6897	0	13.3448
Hist2h2aa2	0	25.626	15.7174	19.5362	0	3.82722	40.3137	17.4844
Hist2h2ab	1	0	0	0	0	0	0	0
Hist2h2ac	4.22298	2.08184	3.17276	8.09837	0	3.22604	1.02852	1.06719
Hist2h2bb	3	3	2	6	2	2	2	4
Hist2h2be	42	34	24	25	30	34	60	49.0445
Hist2h3b	0	6.67761	0.315919	2.50512	2.55479	3.96449	3.79253	5.04643
Hist2h3c1	29.925	25.5353	14.5348	25.0653	32.2808	23.3063	33.2307	27.7377
Hist2h3c2	26.075	19.0316	20.1493	3.82973	16.1644	7.87318	10.9768	21.2159
Hist2h4	5	4	3	3	3	3	2	2
Hist3h2a	188.577	154.866	152.782	157.059	155.414	146.319	209.552	213.604
Hist3h2ba	1	0	2	1	1	1	3	2
Hist3h2bb-ps	0	1	1	0	0	0	0	0
Hist4h4	24.691	22.4463	14.3695	18.0449	23.6949	17.9027	41.7924	25.9186
Hivep1	609	556	779	814	628	605	800	675
Hivep2	644.834484674	634.9891	829.3859	794.3226	583.4342147	581.0780101169	840.35700131714	801.27143147588
Hivep3	323	299.00255	572.9996	558	364.000457223	357.00262	415	362.99996
Hjurp	3429.00411	3314.9975	2793.9992	2649.9955	3178	2984.001	4508.0044	4205.99920007689
Hk1	2887.0045	2771.99731	2323.00416	2170.00296	2646.999	2624.003	3733.00011	3537.00651
Hk2	349.40675	280.00018	1260.12160858251	1174	462.999965	465.99969	433.00037	410.00012
Hk3	0	1	0	0	0	0	1	0
Hkdc1	0	0	1	3.999999	1	0	1	1
Hlcs	218.5878	181.2198	388.0049	395.368	206.4971	214.0269	226.6439	237.1744
Hlf	147.0001	145.000100011543	78.0000283	76	132.99983797781	105.00004	202.0004	169.0005
Hltf	667.00112	569.5626864	785.00097	740.00582	632.0145	647.0001423639	871.01527	791.00207242637
Hlx	178.00038	176.0003	120.99987	112	156.00017	142.00045	202.9999	212.99955
Hmbox1	568.30716	541.32455	687.99854	659.51736	582.36574	545.00323	739.02426	683.3011
Hmbs	1076.9965	995	1169	1094.00000001031	1175.0018023	1119	1271.0000773645	1283.9951
Hmces	733.00034	694.00029	1069.00056	951.0003	788.00042	762.00017	902.99957	889.00029
Hmcn1	204	173	22.999957	41	98.00002	95.000001	281.999598	215.9996
Hmcn2	48.999994	36.00003	79	60.000053	37	49.00004	52.00002	45.99998
Hmg20a	805	788	949	981	815	774	994	1006
Hmg20b	1072.00032	1009.99961	1147.00012	1117.99975	1013.00053	943.999	1321.001	1229.00022
Hmga1	2188.2573	2193.2899	6284.445	5997.026	2837.12	2615.2588	3219.857	2921.291
Hmga1-rs1	6044.74	5696.71	15775.6	15047	7721.88	7396.74	8085.14	7875.71
Hmga2	3059.94708	2851.95299	6971.61973	6622.40115	3704.45448	3445.60696	4261.70052	3939.87132
Hmgb1	12163.61963	11481.23077	10020.88191	9502.07498	11099.19872	10564.43885	15212.81726	14513.62673
Hmgb1-ps1	0	0	1.35636	0	0	2.71745	0	0
Hmgb1-ps2	0	0	7.5603	0	0	7.3695	7.31649	15.0272
Hmgb1-ps3	45.1767	52.6942	46.393	37.4025	50.3616	29.5515	49.1178	52.0578
Hmgb1-ps4	2.7519	1.365324	2.75266	1.3566	0	2.7229	2.71388	0
Hmgb1-ps5	0	2.7661	2.72194	1.36281	0	2.77229	1.34877	1.3677
Hmgb1-ps6	0	1.34985	4.09227	0	8.18721	2.72691	5.45863	4.18239
Hmgb1-ps7	9.06999	3.98848	2.74289	4.14784	2.72418	0	5.1177	5.3098
Hmgb1-ps8	0	0	0	1.00102	0	0	0	0
Hmgb1-ps9	2.24898	1.12978	1.12793	1.12353	0	2.24252	5.14234	3.82983
Hmgb1-rs16	2.00035	0	0	0	0	0	1.00029	0
Hmgb1-rs17	3.08321	1.02448	2.07789	3.06432	3.072	4.11786	2.04871	4.10239
Hmgb1-rs18	0	0	0	0	0	0	0	1.00028
Hmgb1l	0	0	0	0	0	0	0	0
Hmgb2	5449.67051	5203.76967	4550.99126	4310.6132	5397.97947	5041.85982	6912.58342	6623.3439
Hmgb3	1406.13151	1304.8399	1114.98268	1057.7871	1418.9994	1252.0004	1746.34847	1655.0007
Hmgb3-ps	0	0	0	0	0	0	0	0
Hmgb4	0	0	0	0	0	0	0	0
Hmgcl	762.000119	700.000150021178	750.0002	723.999480035945	723.00024	738.999782	954.00031	912.00012
Hmgcll1	1	3	0	3	1	0	2	0
Hmgcr	3519.003460067	3278.00355	2672.99957	2513.00020027606	3308.99460002194	3114.99663	4674.99726	4272.99704
Hmgcs1	5917	5520	3540	3349	5208	4903	7723	7290
Hmgcs2	0	0	0	0	1	1	0	0
Hmgn1	12646.1179	11988.0088	14803.6937	14064.5195	13369.6614	12781.1064	15999.1277	15122.448
Hmgn2	7888.48027001226	7352.53697	4722.22505	4611.56854871	7358.395483	7137.4333745	10466.77251	9862.74703
Hmgn2-ps1	297.093	277.375	161.508	186.101	304.556	296.715	357.485	357.591
Hmgn2l6	0	0	0	0	0	0	0	0
Hmgn3	879.00049	926.00053	602.00004	591.999911	871.99961	886.00068	1223.99972	1169.9995
Hmgn5	850	800.65	643	648	765	753	1007	983
Hmgxb3	1216.34	1195.75	2295	2192.7	1311	1334	1587	1480
Hmgxb4	1017.00043	989.00028	1199.99922	1164.0005	1017.9999	943.000370415646	1273.00036	1142.000129
Hmha1	12	24	13	11	12	32	38	26.99996
Hmmr	2521.9418	2389.60767	1923.91249	1847.77191	2360.45065	2200.6915	3218.21472	2976.47555
Hmox1	1181.00002	1125.99951	3196.00248	3077.0049855	1431.99666	1315.99556	1575.00138	1470.00211
Hmox2	1217.5501	1133.06057549	1062.223	985.61823	1088.0385	1040.568	1486.01630020815	1470.4074
Hmx1	0	0	0	0	0	0	0	0
Hmx2	10	6	10	7	5	8	10	5
Hmx3	0	0	4	7	0	0	0	0
Hn1	4406.999285	4237.00343	3361.00189555	3282.99859	4119.99611	3847.00172	5351.00255	5279.9953
Hn1l	3949.13	3841.98	4451	4233	4104.74	3842.77	5309	4913.08
Hnf1a	1	1	0	1.00098	0	0	0	2
Hnf1b	0	0	1	0	0	0	2	2
Hnf4a	0	0	0	0	0	0	0	0
Hnf4g	0	0	0	0	0	0	0	0
Hnmt	0	0	0	0	0	1.0000000122164	1	1
Hnrnpa0	7175	6787	7035	6772	6688	6480	8394	7804
Hnrnpa1	21229.13	20893.68	17636.86	16937.97	21178.53	20195.83	27503.14	25938.01
Hnrnpa1l2-ps	2.35361	1.16234	2.32466	2.61681	4.64662	4.64522	4.66637	2.31433
Hnrnpa2b1	24343.96241	23046.97017	26313.95741	25024.97218	25143.00011	23935.01651	30237.01339	29168.04867
Hnrnpa3	18360.00418074	17031.01702896	18924.25472564	17874.63547654	17862.9469426548	17369.15534523	22143.0447017887	21389.5913126316
Hnrnpab	13621.98	12720.448	18243.494	17465.012	15061.255	14269.742	17303.528	16422.494
Hnrnpc	6340.91	6279.55	8384.94	8079.67	6787.44	6676.6	8797.26	8269.01
Hnrnpd	4860.7771	4771.21640008083	5212.5919	4893.1974	5202.11162	4830.01641544	6241.902889	5927.96919
Hnrnpdl	3642.00375	3384.0045	3790.99877	3553.0047	3769.0023	3481.9457	4774.00392	4445.99817
Hnrnpf	12340.0900100361	11678.95106	19450.94334	18750.1767289023	13987.8340000179	13234.4783401258	15995.74377	15625.4142
Hnrnph1	10095.0068927028	9612.00293324846	7957.9964	7642.35573715709	9624.99762003941	9049.00219924579	12682.71455	12263.0009871107
Hnrnph2	3591.2477	3482.0023	3471.2154	3260.0019	3426.6389	3173.9989	4728.5462	4395.6181
Hnrnph3	1308.8385209084	1229.83099	1215.70695	1164.31715	1233.7963814	1168.79997064941	1420.6682	1342.77425
Hnrnpk	18698.39524	17794.53543	21695.25826	20594.60829	19608.51063	18661.00004	24472.00747	23305.32354
Hnrnpl	6743.9897	6438.4234	6740.889189	6434.58028927	6561.04158	6509.44931008624	8536.98332	8100.7981
Hnrnpll	2546.06203	2324.03197	2756.01025	2641.21376	2448.08247	2347.08365	3096.39515	3074.21934
Hnrnpm	9475.71838	9122.94934	9588.8506	8975.8212	9707.76059	9114.93605	12037.84126	11388.71617
Hnrnpr	3830.26806001255	3585.3142	4433.27090006388	4354.7087	3910.68524674167	3736.11546	4889.36009	4502.57710394634
Hnrnpu	14758.7486	14245.83908	20222.17588032	19707.308386	15916.36338	15146.387	19245.34899	18348.292
Hnrnpul1	4569.9989	4417.04393	4807.82713	4495.40588	4403.00179	4169.99748	5845.15821	5436.22055
Hnrnpul2	6779	6354	7246	7008	6428	5965	8275	7834
Hoga1	32.00001	41	40.99996	49.00003	35	33.00004	39	36
Homer1	375.96449	372.94944	564.74912	529.9624	407.69226	379.00094197328	486.002372	468.9511
Homer2	6.235539	3.007458	4.0053	6.4557	3.005323	8.018772	8.00386	14.0177
Homer3	1209.343923439	1157.1186	1810.03719	1787.69810163949	1356.43260393639	1238.10170136591	1432.4679	1409.20499
Homez	139.00049	121.00037	124.00006	130.00015	122.0005	112.00004	163.99984	173.9996
Hook1	18.0000000329451	16.999996	24.99996	26.999983821	33.000036	36.00001	19.00002460549	29
Hook2	278.1695	284.7432	659.61199	629.4084	318.25568	332.200980697	394.9187	352.3401
Hook3	2038.20991	1914.34999	2333.57722	2211.21037	1931.29048	1841.82807	2639.06435	2387.45905
Hopx	52.99995	51.00004	14	19	41.99999	35	70.99999	61
Hormad1	0	0	0	0	0	0	0	0
Hormad2	5	6	2	2	6	5	12	5
Hoxa1	17	11	17	25	20	16	21.99998	25.00003
Hoxa10	622.99983	654	376	339.00012	486.9994	480.0009	737	683.0006
Hoxa11	2	1	4	1	2	3	3	5
Hoxa13	2	0.99999987	4.999995218	3.000001022	2	4.00000124	2.00000046	2
Hoxa2	6.17325	6	9	7.34269	7	2.12555	8.36116	10.3036
Hoxa3	64.49411	56.51804	44.2009	55.33087	44	48.6797	61.45423	54.63236
Hoxa4	18	14	14	15	16	23	16	17
Hoxa5	141	145	84	116	130	99	193	161
Hoxa6	60	51	38	23	35	38	63	49
Hoxa7	568.93852	565.99953	584.00045	510.00023	594.00044	519.99962	757.00006	670.99991
Hoxa9	456.00021	455.00051	458.99996	407.999661	395.99973	390.99991	631	581.00028
Hoxb1	2	2	0	4	4	2	2	1
Hoxb13	11	12	11	13	12	6	10	10
Hoxb2	281.0001	262.9996	236	218.9997	269.9998	253	358.0002	319.9998
Hoxb3	468.99964	379	297.00211	268.01832	344.99984	302.00424	488.99957	454.99986
Hoxb4	170	170	167	177	180	160	214	222
Hoxb5	104	88	67	52.00001	100	102	139.0003	125
Hoxb6	287.134	291.0061	284.0028	230.2876	290.1989	245.0029	322.9998	353.0032
Hoxb7	327.99955	294	499	436	355.99997	325	448	385.00016
Hoxb8	498.0004	458.0002	334	274.000278	444.9998	413.0002	609.0005	596.000426
Hoxb9	1329.098	1258.173	2283.55	2226.7	1540.13	1478.371	1693.047	1485.188
Hoxc10	11	18	8	11	12	17	15	19
Hoxc11	5	10	9	5	5	3	2	9
Hoxc12	1	2	0	0	2	0	1	2
Hoxc13	1	0	5	12	4	2	4	2
Hoxc4	502	426.0001	380.0003	308.0001	454.0005	424.0005	568.9999	554
Hoxc5	340	310.99961	199.99997	199.9996	323.9997	301.00007	424.00011	445.0004
Hoxc6	889.9996	812.0003	547.0001	535	759.9997	691	1075.9981	1042.9995
Hoxc8	317.7182	360.0127	379.0213	369.6962	325.2697	327.0095	441.013	369.016
Hoxc9	100.234	99.8813	115.405	97.8724	82.0821	70.0175	119.225	98.1088
Hoxd1	0	0	0	0	0	0	1	1
Hoxd10	0	1	3	2	2	1	0	1
Hoxd11	0	0	1	1	0	0	0	0
Hoxd12	0	0	0	0	0	0	0	0
Hoxd13	6	3	7	6	6	4	5	2
Hoxd3	5.76446	16.42488	15.7861	24.06714	14.8397	8.54538	20.11738	15.152
Hoxd4	50.0421	48.57513	55.29601	70.1881	59.350671	59.41895	69.4173	57.53081
Hoxd8	385.9996	384	468.9996	513.9998	420.9998	401.9996	461.9997	449.0005
Hoxd9	56	49	108	104	59	53.9301	58.8415	54.4055
Hp	0	2	0	0	0	0	2	0
Hp1bp3	6371.13915	6044.34141	5453.28797	5191.00783	5939.1775	5646.35685	8208.73749004147	7811.3121
Hpca	0	1	2	1	1	0	0	1
Hpcal1	780	678.99	435	474.698	679	607.96	919.993	903.923
Hpcal4	5.43096	3	2.01109	4.01259	1	1.67381	5.057642	4.00211
Hpd	0	0	0	0	0	0	0	0
Hpdl	23	15	61	40	27	25	21	24
Hpgd	5	2	0	0	0	0	8	8
Hpgds	1.00034	4.03739	4	2	2.02711	0	3.19462	5.03592
Hpn	0	0	1	0	1	0	0	1
Hprt	1589	1510	2133	1970	1669	1647	2069	1928
Hps1	602.00079	605.0005	656.71223807635	618.0011	605.048239469	594.00055	793.0484	791.0012169
Hps3	183.13025	187.2157928155	483.5316057	525.97287	236.07045	233.398865813	263.04879	247.192160639065
Hps4	375.000479	395.00036	629.9997243	665.99989	429.99995	429.99953	479.99973341396	476.00023
Hps5	451.9997164	475.24431	618.99995	577.999790870099	475.83431	488.00544	563.04163	640.23699
Hps6	334	363	394	390	337	332	462	457
Hpse	108	129	76	89	108	113	180.99995	180
Hpse2	0	0	0	0	0	0	0	1
Hpx	3	3	6.000004	11	2	8	4	5
Hr	58.00005	67.0000000366833	15	22.9999926	51	30	66	78.00004
Hras	832.99972	723.99949	951.9997	918.99958	827.9999	745.99978797	905.99938	882.9997
Hrasls	0	0	0	0	0	0	0	0
Hrasls5	0	0	0	0	0	0	0	0
Hrc	3.00317	3	2.00202	2.00226	1	4	3.000002	3.00258
Hrct1	26	20	2	6	10	14	21	23
Hrg	0	0	0	0	0	0	0	0
Hrh1	2.999999	9.000000273696	5.0000000625476	5.000000181128	6.00000038253	5.00000193529	5	7.000000546124
Hrh2	0	2.00031	0	1.0004	0	0	1.00046	0
Hrh3	0	0	1	0	0	0	3	1
Hrh4	0	0	0	0	0	0	0	0
Hrk	0	1.00001	14.00026	11.0013	1.00002	1.04767	0	0
Hrnr	0	0	0	0	0	0	0	0
Hs1bp3	883	853	1361	1233	980	933	1218	1059
Hs2st1	2318.99569	2253.997	2526	2294.99562	2405.0011	2230	2945.9957	2844.99769
Hs3st1	5.000003	9.000001	0	1.16994	6.000005	3.000004	12	12
Hs3st2	0	0	0	0	0	0	0	0
Hs3st3a1	11.4512	5.6711	7.47207	2.36962	2.75361	8	7.02121	13.9769
Hs3st3b1	17.5488	24.3187	10.5279	5	14.8102	7	23.4522	20.206
Hs3st4	3.00112	1.00336	0	2.22314	0	0	0	2.16666
Hs3st5	1	1	5	2.999997	0	0	0	0
Hs3st6	0	0	1	4	3	1	0	0
Hs6st1	1524.2736	1426.946	1063.2864	984.6667	1421.02894	1284.3599	1987.3568	1812.7576
Hs6st2	1835.99689	1799.998	1823.997	1801.002	1875.99796	1737.0036	2458.00131	2510.0006
Hs6st3	1	0	0	0	0	0	0	0
Hsbp1	1766	1620	1716	1689	1668	1524	2153	2038
Hsbp1l1	0	4.13531	1	2	2.40979	0	1.05492	0
Hscb	166.99979	154.99968	222.00019	223.00033	160.999600281542	202.00003	197.9999	216.99978
Hsd11b1	0	1	0	0	0	0	1	1
Hsd11b2	10	15	5	4	7	8	18	13
Hsd17b1	2	2	45	49	12	14	4	3
Hsd17b10	1169.00039	1154.99924	1278	1113.00069	1221.00044	1096	1515	1471.00003
Hsd17b11	375.00033	374.00015	342.99981	298.99953	404.00003	328.00004	549.9999	521.0003
Hsd17b12	2279.9956	2066.000929055	3448.99564796	3210.99522090774	2582.0042	2471.0027000663	3006.003639114	2832.9992
Hsd17b13	3.12324	0	1.03223	0	0	0	0	0
Hsd17b14	2	1	3	4.000005	3.000002	4	1	2
Hsd17b2	0	0	0	0	0	0	0	0
Hsd17b3	0	0	0	0	0	0	0	0
Hsd17b4	1619	1439.99762	1691.0037	1598.00424	1532.998993	1482.00277	1930.99764269364	1827.99853
Hsd17b6	0	0	0	0	0	0	0	0
Hsd17b7	774.0496	751.00015	462.99991	435.01158	644.00021066	597.00021	1029.0004	970.99968
Hsd3b1	0	0	0	0	0	0	0	0
Hsd3b2	17.8465	12.8927	24.8768	22.6802	18.2194	14.3686	27.8322	22.1886
Hsd3b3	2	0	1	0	0	0	1	1
Hsd3b4	0	0	0	0.5	0	0	0	0
Hsd3b5	0	0	0	0	0	0	0	0
Hsd3b6	0	0	0	0	0	0	0	0
Hsd3b7	146.58457560754	121.644710014623	157.848250011675	90.559994589	136.83715	107.56483	199.050288	196.27847
Hsdl1	600	598	1329	1285	754	732.565	774.484	797
Hsdl2	617.9998	560	454.00001	421.9997	508.99963	512.9997	746.99997	751
Hsf1	1507	1353	2360	2196	1577	1528	1819	1743
Hsf2	726.838	677.49	928	862	736.408	721	880	852
Hsf2bp	6	2.999997	8.00064	3	7	7.999998	9	9
Hsf3	0	1	0	1	1	1	0	2.000001
Hsf4	85.00004	84.00004	86.99995	85	81.00005	94	115.00010003104	101.0000055021
Hsf5	3	1	1	2	3	2	2	4
Hsfy2	0	0	0	0	0	0	0	0
Hsh2d	0	0	0	0	0	0	1	2.000000448451
Hsp25-ps1	0	0	0	0	0	0	0	0
